title,rating,year,actors,runtime
Aloko Udapadi,9.6,2017,U,113
Dag II,9.4,2016,O,135
Aynabaji,9.4,2016,C,147
Wheels,9.4,2014,D,115
The Dark Knight,9,2008,C,152
Ayla: The Daughter of War,8.9,2017,Ç,125
Aruvi,8.9,2016,A,130
Vikram Vedha,8.8,2017,V,147
Drishyam,8.8,2013,M,160
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,R,137
Inception,8.8,2010,L,148
RangiTaranga,8.6,2015,N,149
Interstellar,8.6,2014,M,169
Cyborgs: Heroes Never Die,8.5,2017,V,112
Arjun Reddy,8.5,2017,V,182
Dhuruvangal Pathinaaru,8.5,2016,R,105
Dangal,8.5,2016,A,161
Thani Oruvan,8.5,2015,J,160
Ulidavaru Kandanthe,8.5,2014,K,154
Whiplash,8.5,2014,M,106
The Intouchables,8.5,2011,F,112
Theeran Adhigaaram Ondru,8.4,2017,K,157
Sairat,8.4,2016,R,174
Kimi no na wa.,8.4,2016,R,106
Jigarthanda,8.4,2014,S,171
Soodhu Kavvum,8.4,2013,V,135
Coco,8.4,2017,A,105
Lucia,8.4,2013,S,135
Vishwaroopam,8.4,2013,P,148
Django Unchained,8.4,2012,J,165
The Dark Knight Rises,8.4,2012,C,164
3 Idiots,8.4,2009,A,170
WALL·E,8.4,2008,B,98
Abad va yek rooz,8.3,2016,P,95
Baahubali 2: The Conclusion,8.3,2017,P,167
Uppi 2,8.3,2015,U,135
Premam,8.3,2015,N,156
Drishyam,8.3,2015,A,163
Chaar Sahibzaade,8.3,2014,O,135
Bangalore Days,8.3,2014,N,171
Bilal: A New Breed of Hero,8.3,2015,A,105
Queen,8.3,2013,K,146
It's Such a Beautiful Day,8.3,2012,Unkown/no actors,62
1 - Nenokkadine,8.3,2014,M,170
Ustad Hotel,8.3,2012,D,151
Shahid,8.3,2012,R,129
Jagten,8.3,2012,M,115
Bol,8.3,2011,H,165
Jodaeiye Nader az Simin,8.3,2011,P,123
Montevideo  vidimo se!,8.3,2014,M,141
