"ID";"Perioden";"MannenEnVrouwen_1";"Mannen_2";"Vrouwen_3";"TotaalBevolking_4";"k_0Tot20Jaar_5";"k_20Tot45Jaar_6";"k_45Tot65Jaar_7";"k_65Tot80Jaar_8";"k_80JaarOfOuder_9";"GroeneDruk_10";"GrijzeDruk_11";"TotaleBevolking_12";"Ongehuwd_13";"Gehuwd_14";"Verweduwd_15";"Gescheiden_16";"TotaalBevolking_17";"NoordNederland_18";"OostNederland_19";"WestNederland_20";"ZuidNederland_21";"TotaalBevolking_22";"InGemeentenMet5000Inwoners_23";"InGemeentenMet5000Tot20000Inw_24";"InGemeentenMet20000Tot50000Inw_25";"InGemeentenMet50000Tot100000In_26";"InGemeentenMet100000OfMeerInw_27";"TotaalGemeenten_28";"GemeentenMet5000Inwoners_29";"GemeentenMet5000Tot20000Inwoners_30";"GemeentenMet20000Tot50000Inwoners_31";"GemeentenMet50000Tot100000Inw_32";"GemeentenMet100000OfMeerInwoners_33";"TotaalNietNederlands_34";"Amerikaans_35";"Belgisch_36";"Brits_37";"Duits_38";"Italiaans_39";"VoormaligJoegoslavisch_40";"Marokkaans_41";"Spaans_42";"Turks_43";"MigratieachtergrondSuriname_44";"MigratieachtergrondNederlandseAnt_45";"TotaalParticuliereHuishoudens_46";"MannenEnVrouwen_47";"Mannen_48";"Vrouwen_49";"Meerpersoonshuishouden_50";"GemiddeldeHuishoudensgrootte_51";"TotaalPersonenInHuishouden_52";"KinderenInHuishouden_53";"Levendgeborenen_54";"Overledenen_55";"Geboorteoverschot_56";"Immigratie_57";"EmigratieExclusiefAdministratieveC_58";"Migratiesaldo_59";"TotaleBevolkingsgroei_60";"TotaleBevolkingsgroeiRelatief_61";"Levendgeborenen_62";"LevendgeborenenGeslachtsverhouding_63";"LevendgeborenenRelatief_64";"GemiddeldKindertalPerVrouw_65";"TotaalLevendgeborenen_66";"JongerDan20Jaar_67";"k_20Tot25Jaar_68";"k_25Tot30Jaar_69";"k_30JaarOfOuder_70";"k_1eKind_71";"k_2eKind_72";"k_3eKind_73";"k_4eEnVolgendKind_74";"LevendgeborenenMoederNietGehuwd_75";"Overledenen_76";"OverledenenRelatief_77";"OverledenenGeslachtsverhouding_78";"LevensverwachtingBijGeboorteMannen_79";"LevensverwachtingBijGeboorteVrouwen_80";"k_28OfMeerWekenRelatief_81";"k_24OfMeerWekenRelatief_82";"PerinataleSterfte24_83";"PerinataleSterfte24Relatief_84";"PerinataleSterfte28_85";"PerinataleSterfte28Relatief_86";"Sterfte4WekenNaDeGeboorte_87";"Sterfte4WekenNaDeGeboorteRela_88";"Sterfte1JaarNaDeGeboorte_89";"Sterfte1JaarNaDeGeboorteRela_90";"k_1Tot5Jaar_91";"k_5Tot15Jaar_92";"k_15Tot45Jaar_93";"k_45Tot65Jaar_94";"k_65Tot80Jaar_95";"k_80JaarOfOuder_96";"TotaalOverledenen_97";"TotaalInfectieEnParasitaireZiekten_98";"Tuberculose_99";"TotaalKanker_100";"KankerAanSpijsverteringsorganen_101";"KankerAanAdemhalingsorganen_102";"Borstkanker_103";"TotaalZiektenVanHartEnVaatstelsel_104";"ZiektenVanDeKransvaten_105";"Hersenvaatletsels_106";"Griep_107";"Cara_108";"ZiektenVanSpijsverteringsorganen_109";"TotaalZktnUrinewegenEnGeslachtso_110";"NierontstekingAandAanNierbuisjes_111";"ComplZwSchapBevallingEnKraambed_112";"AangeborenAfwijkingen_113";"TotaalOngevallenVergiftEnGeweld_114";"Vervoersongevallen_115";"AccidenteleVal_116";"AccidenteleVerdrinking_117";"Zelfdodingen_118";"ZelfdodingenRelatief_119";"ZelfdodingenMannen_120";"ZelfdodingenVrouwen_121";"BinnenGemeentenVerhuisdePersonen_122";"TotaalPersonen_123";"TotaalPersonenRelatief_124";"BinnenEenZelfdeProvincieRelatief_125";"InGezinsverbandTot2010Relatief_126";"TotaalImmigratie_127";"Nederlands_128";"TotaalNietNederlands_129";"EuropeseUnieExclusiefNederland_130";"Marokkaans_131";"Turks_132";"TotaalEmigratieExclusiefAdministra_133";"Nederlands_134";"TotaalNietNederlands_135";"EuropeseUnieExclusiefNederland_136";"Marokkaans_137";"Turks_138";"TotaalImmigratie_139";"Nederland_140";"EuropeseUnieExclusiefNederland_141";"Indonesie_142";"SurinameEnDeNederlandseAntillen_143";"Suriname_144";"NederlandseAntillen_145";"Marokko_146";"Turkije_147";"SpecifiekeEmigratiegebieden_148";"TotaalEmigratieExclusiefAdministra_149";"Nederland_150";"EuropeseUnieExclusiefNederland_151";"Indonesie_152";"SurinameEnDeNederlandseAntillen_153";"Suriname_154";"NederlandseAntillen_155";"Marokko_156";"Turkije_157";"SpecifiekeEmigratiegebieden_158";"TotaalImmigratie_159";"EuropeseUnieExclusiefNederland_160";"IndonesieSurinameNederlandseAnt_161";"SurinameNederlandseAntillen_162";"Indonesie_163";"Suriname_164";"NederlandseAntillen_165";"Marokko_166";"Turkije_167";"SpecifiekeEmigratiegebieden_168";"TotaalEmigratieExclusiefAdministra_169";"EuropeseUnieExclusiefNederland_170";"IndonesieSurinameNederlandseAnt_171";"SurinameNederlandseAntillen_172";"Indonesie_173";"Suriname_174";"NederlandseAntillen_175";"Marokko_176";"Turkije_177";"SpecifiekeEmigratiegebieden_178";"Huwelijkssluitingen_179";"HuwelijkssluitingenPer1000Inwoners_180";"HuwelijkssluitingenPer1000NietGe_181";"BeidePartners1eMaalHuwendRelatief_182";"GemiddeldeLeeftijdHuwendeMannen_183";"GemiddeldeLeeftijdHuwendeVrouwen_184";"Huwelijksontbindingen_185";"HuwelijksontbindingenPer1000Inwoners_186";"HuwelijksontbindingenPer1000Echtp_187";"Echtscheidingen_188";"EchtscheidingenPer1000Echtparen_189";"GemiddeldeLeeftijdMannen_190";"GemiddeldeLeeftijdVrouwen_191";"GemiddeldeHuwelijksduur_192";"DoorOverlijdenVanDeManRelatief_193";"DoorOverlijdenVanDeVrouwRelatief_194";"SaldoWijzigingenVanNationaliteit_195";"Naturalisatie_196";"NaturalisatieRelatief_197"
"0";"1899JJ00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1113";"89";"35";"54";"1024";"4.51";"5021";"2526";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1715.7";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"1900JJ00";"5104";"2521";"2583";"5104";"2264";"1732";"802";"272";"35";"89.3";"12.1";"5104";"3152";"1679";"268";"6";"5104";"788";"900";"2580";"836";"5104";"1752";"1494";"479";"241";"1137";"1121";"918";"179";"16";"4";"4";"53";;"14.9";"1.3";"31.9";"0.2";;;;;;;;;;;;;;;"163";"92";"71";"28";"25";"3";"75";"1.5";"163";"1058";"31.6";"4.45";;;;;;;;;;"2.6";"92";"17.9";"1082";;;"42.9";;;;;;"5.8";"35.7";"25.2";"155.2";"17.3";"3.2";"5.9";"17.7";"71.4";"205.5";"1786.3";;"172";"92";;;;;;;;;;"66";;"9";;"39";;;;;;;;;"291";"56.7";"63.3";;"28.4";;;;;;"25.1";;;;;;"28.4";;;;;;;;;;"25.1";;;;;;;;;;"28.4";;"4.3";;;;;;;;"25.1";;"3.1";;;;;;;;"39";"7.7";"49.8";"87.5";"29.3";"26.7";"25.4";"4.9";"30.3";"0.6";"0.7";;;;"16.2";"13.4";;;
"2";"1901JJ00";"5163";"2550";"2613";"5163";"2286";"1762";"806";"274";"35";"89.1";"12";"5163";;;;;"5163";"795";"911";"2627";"845";"5163";"1765";"1514";"486";"245";"1169";"1121";"914";"182";"17";"4";"4";;;;;;;;;;;;;;;;;;;;;"168";"90";"78";"26";"23";"3";"84";"1.6";"168";"1052";"32.2";"4.53";;;;;;;;;;"2.5";"90";"17.2";"1103";;;"41.5";;;;;;"5.6";"33.5";"25.1";"149.3";"20.7";"3.8";"5.5";"16.2";"63.5";"186.2";"1719.9";"305.5";"194";"94";;;;;;;"9.1";;;;"49.2";"8";;"38";;;;"303";"5.8";"226";"77";;"308";"59.2";"63.4";;"26.1";;;;;;"22.8";;;;;;"26.1";;;;;;;;;;"22.8";;;;;;;;;;"26.1";;"4";;;;;;;;"22.8";;"3.6";;;;;;;;"40";"7.7";"50.2";"87.5";"29.3";"26.7";"23.5";"4.5";"27.5";"0.6";"0.7";;;;"14.8";"12.1";;;
"3";"1902JJ00";"5233";"2584";"2649";"5233";"2314";"1791";"812";"278";"37";"88.9";"12.1";"5233";;;;;"5233";"804";"925";"2676";"859";"5233";"1783";"1540";"494";"249";"1197";"1121";"913";"181";"19";"4";"4";;;;;;;;;;;;;;;;;;;;;"169";"86";"82";"25";"25";"0";"84";"1.6";"169";"1064";"31.8";"4.46";;;;;;;;;;"2.4";"86";"16.3";"1075";;;"40.8";;;;;;"5.1";"30.5";"21.9";"129.9";"18.5";"3.6";"5.3";"16.1";"64.7";"194.8";"1625.7";"285.3";"187";"95";;;;;;;"17.4";;;;"45.5";"8";;"36";;;;"319";"6.1";"243";"76";;"315";"59.8";"63.2";;"24.5";;;;;;"24.8";;;;;;"24.5";;;;;;;;;;"24.8";;;;;;;;;;"24.5";;"4.7";;;;;;;;"24.8";;"4.6";;;;;;;;"40";"7.6";"49.6";"87.5";"29.2";"26.7";"23.6";"4.4";"27";"0.6";"0.7";;;;"14.6";"11.8";;;
"4";"1903JJ00";"5307";"2622";"2685";"5307";"2344";"1824";"819";"281";"38";"88.7";"12.1";"5307";;;;;"5307";"814";"939";"2723";"872";"5307";"1805";"1569";"502";"253";"1218";"1121";"909";"184";"20";"4";"4";;;;;;;;;;;;;;;;;;;;;"170";"84";"86";"26";"32";"-7";"84";"1.6";"170";"1056";"31.6";"4.42";;;;;;;;;;"2.2";"84";"15.6";"1103";;;"40.7";;;;;;"5.4";"31.5";"23";"135.1";"16";"3.1";"5.3";"15.4";"60.5";"176.4";"1557.5";"267.3";"192";"100";"71";;"4";;;;"13.9";;"202";"52";"43.5";"8";"22";"39";;;"17";"346";"6.5";"282";"64";;"335";"62.7";"62.5";;"25.6";;;;;;"32.2";;;;;;"25.6";;;;;;;;;;"32.2";;;;;;;;;;"25.6";;"4.8";;;;;;;;"32.2";;"4.5";;;;;;;;"40";"7.4";"48.8";"88";"29.1";"26.7";"23.4";"4.3";"26.2";"0.6";"0.7";;;;"14.1";"11.4";;;
"5";"1904JJ00";"5384";"2660";"2724";"5384";"2379";"1855";"824";"287";"40";"88.8";"12.2";"5384";;;;;"5384";"822";"952";"2771";"886";"5384";"1826";"1591";"512";"258";"1244";"1121";"906";"187";"20";"4";"4";;;;;;;;;;;;;;;;;;;;;"171";"87";"84";"24";"30";"-7";"79";"1.4";"171";"1052";"31.4";"4.38";;;;;;;;;;"2.1";"87";"15.9";"1074";;;"40.8";;;;;;"5.3";"30.9";"23.5";"136.9";"18.7";"3.2";"5.1";"15.4";"61.3";"180.2";"1592.1";"294.7";"188";"99";"71";;"4.4";;;;"6.7";;"210.7";"53";"45";"8";"15";"38";;;"15";"371";"6.8";"286";"85";;"338";"62.4";"62.5";;"23.7";;;;;;"30.4";;;;;;"23.7";;;;;;;;;;"30.4";;;;;;;;;;"23.7";;"4.3";;;;;;;;"30.4";;"3.6";;;;;;;;"41";"7.4";"48.8";"87.9";"29.2";"26.7";"23.3";"4.3";"25.7";"0.7";"0.7";;;;"13.7";"11.2";;;
"6";"1905JJ00";"5460";"2699";"2762";"5460";"2410";"1885";"832";"292";"42";"88.7";"12.3";"5460";;;;;"5460";"831";"964";"2815";"899";"5460";"1846";"1614";"519";"261";"1269";"1121";"903";"190";"20";"4";"4";;;;;;;;;;;;;;;;;;;;;"171";"85";"86";"25";"30";"-5";"82";"1.5";"171";"1051";"30.8";"4.29";;;;;;;;;;"2.2";"85";"15.3";"1077";;;"40.3";;;;;;"5.3";"31.3";"22.4";"130.9";"15";"2.9";"4.9";"15.5";"61.7";"188.2";"1531.7";"262.1";"184.1";"102.2";"74.6";;"4.1";;;;"14.1";;"195.2";"52.9";"43.8";"7.5";"6.9";"38";;;"14.4";"395";"7.2";"318";"77";;"337";"61.2";"62.4";;"25.2";;;;;;"30.4";;;;;;"25.2";;;;;;;;;;"30.4";;;;;;;;;;"25.2";;"4.8";;;;;;;;"30.4";;"3.8";;;;;;;;"41";"7.3";"48.4";"88.3";"29.1";"26.6";"24.1";"4.3";"26.2";"0.8";"0.8";;;;"13.9";"11.4";;;
"7";"1906JJ00";"5537";"2737";"2800";"5537";"2441";"1918";"838";"298";"43";"88.6";"12.4";"5537";;;;;"5537";"841";"977";"2861";"913";"5537";"1867";"1638";"527";"266";"1293";"1121";"902";"188";"22";"5";"4";;;;;;;;;;;;;;;;;;;;;"171";"83";"88";"26";"34";"-8";"81";"1.4";"171";"1040";"30.4";"4.23";;;;;;;;;;"2.1";"83";"14.8";"1055";;;"39.7";;;;;;"5.1";"29.8";"21.7";"127.1";"14.5";"2.8";"4.9";"14.9";"59.2";"180";"1478.4";"254.9";"180";"102";"73";;"4.5";;;;"9.2";;"195.4";"53";"44.7";"8";"7";"37";;;"14";"373";"6.7";"282";"91";;"355";"63.6";"62.2";;"26.2";;;;;;"34.5";;;;;;"26.2";;;;;;;;;;"34.5";;;;;;;;;;"26.2";;"4.5";;;;;;;;"34.5";;"3.3";;;;;;;;"42";"7.5";"49.6";"88.5";"29";"26.5";"23.8";"4.2";"25.4";"0.8";"0.9";;;;"13.4";"11.1";;;
"8";"1907JJ00";"5616";"2777";"2840";"5616";"2473";"1947";"850";"303";"43";"88.4";"12.4";"5616";;;;;"5616";"849";"990";"2907";"926";"5616";"1887";"1663";"535";"269";"1318";"1121";"900";"191";"21";"5";"4";;;;;;;;;;;;;;;;;;;;;"172";"83";"88";"27";"41";"-14";"75";"1.3";"172";"1049";"30";"4.18";;;;;;;;;;"2.2";"83";"14.6";"1060";;;"40.1";;;;;;"4.9";"28.3";"19.2";"111.9";"14.4";"2.8";"4.7";"15.5";"63.1";"199.5";"1459.8";"251.1";"175";"103";"73";;"5.2";;;;"16.2";;"141.8";"51";"43.2";"7";"8";"37";;;"14";"386";"6.8";"298";"88";;"351";"62";"61.9";;"27.3";;;;;;"41.3";;;;;;"27.3";;;;;;;;;;"41.3";;;;;;;;;;"27.3";;"4.6";;;;;;;;"41.3";;"4.2";;;;;;;;"43";"7.6";"50.4";"88.9";"29";"26.5";"25";"4.4";"26.2";"0.8";"0.9";;;;"14";"11.4";;;
"9";"1908JJ00";"5696";"2817";"2879";"5696";"2509";"1977";"859";"308";"43";"88.4";"12.4";"5696";;;;;"5696";"856";"1004";"2947";"941";"5696";"1907";"1688";"542";"273";"1338";"1121";"897";"194";"21";"5";"4";;;;;;;;;;;;;;;;;;;;;"172";"87";"85";"30";"38";"-8";"78";"1.4";"172";"1057";"29.7";"4.13";;;;;;;;;;"2.2";"87";"15";"1053";;;"39.2";;;;;;"5";"29.1";"21.4";"124.8";"15.4";"2.8";"4.6";"15.1";"64.8";"204.2";"1502.5";"246.5";"164";"104";"73";;"4.5";;;;"16.3";;"171.9";"52";"43.5";"7";"9";"37";;;"14";"399";"7";"306";"93";;"347";"60.5";"62.2";;"30";;;;;;"38.3";;;;;;"30";;;;;;;;;;"38.3";;;;;;;;;;"30";;"4.8";;;;;;;;"38.3";;"4.7";;;;;;;;"42";"7.3";"48.2";"88.7";"28.9";"26.5";"24.8";"4.3";"25.6";"0.8";"0.9";;;"10.9";"13.5";"11.2";;;
